 2010년 , 남 6세이하 , 남 12세이하 , 남 15세이하 , 남 20세이하 , 남 30세이하 , 남 40세이하 , 남 50세이하 , 남 60세이하 , 남 60세초과 , 여 6세이하 , 여 12세이하 , 여 15세이하 , 여 20세이하 , 여 30세이하 , 여 40세이하 , 여 50세이하 , 여 60세이하 , 여 60세초과 , 불상 
 대기환경보전법위반 , - , - , - , - , 1 , 7 , 9 , 7 , 5 , - , - , - , - , - , 1 , 1 , - , - , 35 
 대부업등의등록및금융이용자보호에관한법률 , - , - , - , - , 83 , 187 , 133 , 82 , 21 , - , - , - , 6 , 185 , 231 , 215 , 117 , 13 , 227 
 대외무역법위반 , - , - , - , - , - , - , 3 , 1 , - , - , - , - , - , - , - , - , - , - , 9 
 도로교통법위반 , 8 , 35 , 36 , 315 ," 3,155 "," 4,592 "," 4,745 "," 3,091 "," 1,740 ", 4 , 19 , 6 , 50 , 774 ," 1,380 "," 1,528 ", 649 ," 2,845 "," 9,289 "
 도로교통법위반(무면허운전) , 16 , 11 , 51 , 269 , 632 ," 1,050 "," 1,179 ", 830 , 405 , 7 , 8 , 13 , 28 , 133 , 270 , 286 , 113 , 123 ," 2,730 "
 도로교통법위반(음주운전) , 42 , 28 , 22 , 371 ," 4,221 "," 5,888 "," 6,306 "," 4,010 "," 1,706 ", 15 , 36 , 40 , 109 , 773 ," 1,000 "," 1,168 ", 439 ," 1,217 "," 14,223 "
 도로교통법위반(음주측정거부) , - , - , - , 5 , 38 , 55 , 57 , 46 , 12 , - , - , - , 1 , 4 , 9 , 14 , 1 , 3 , 153 
 도로법위반 , 9 , 4 , - , 1 , 42 , 323 , 531 , 405 , 145 , - , - , - , - , 3 , 42 , 21 , 4 , - ," 1,173 "
 도시계획법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 도시공원법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 독점규제및공정거래에관한법률위반 , - , - , - , - , - , 1 , - , - , 1 , - , - , - , - , - , 1 , - , - , - , 1 
