"범죄별(1)",범죄별(2),범죄별(3),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"범죄별(1)",범죄별(2),범죄별(3),합계,남,남,남,남,남,남,남,남,남,남,남,여,여,여,여,여,여,여,여,여,여,여,미상
"범죄별(1)",범죄별(2),범죄별(3),계,계,6세 이하,12세 이하,15세 이하,20세 이하,30세 이하,40세 이하,50세 이하,60세 이하,60세 초과,미상,계,6세 이하,12세 이하,15세 이하,20세 이하,30세 이하,40세 이하,50세 이하,60세 이하,60세 초과,미상,계
"형법범",기타 형법범죄,주거 침입,11763,5145,1,3,19,116,558,1004,1265,1262,910,7,6044,2,6,31,367,1291,1082,1386,1133,745,1,574
"형법범",기타 형법범죄,비밀침해,102,44,-,-,-,-,3,7,13,12,8,1,41,-,-,-,-,10,15,9,2,5,-,17
"형법범",기타 형법범죄,유기,221,105,70,8,3,1,1,-,1,9,11,1,91,59,4,6,3,1,3,1,-,14,-,25
"형법범",기타 형법범죄,교통방해,2083,751,-,-,-,1,22,58,178,279,206,7,160,-,-,-,1,7,16,37,56,43,-,1172
"형법범",기타 형법범죄,공무방해,15130,11699,-,2,7,146,2667,3296,3530,1694,321,36,1341,-,1,6,40,274,237,311,351,117,4,2090
"형법범",기타 형법범죄,도주와 범인 은닉,462,31,-,-,-,3,3,6,5,7,6,1,8,-,-,-,1,2,3,2,-,-,-,423
"형법범",기타 형법범죄,위증과 증거인멸,3461,1487,1,-,-,1,25,107,339,514,488,12,401,-,-,-,-,5,38,91,155,107,5,1573
"형법범",기타 형법범죄,무고,5560,2812,-,-,2,15,165,344,669,914,670,33,691,-,-,-,4,27,79,204,242,128,7,2057
"형법범",기타 형법범죄,공안을 해하는 죄,66,19,-,-,-,-,4,7,1,3,3,1,5,-,-,-,-,1,1,-,2,1,-,42
"형법범",기타 형법범죄,내란의 죄,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12
"형법범",기타 형법범죄,음용수에 관한 죄,31,18,-,-,-,-,-,1,6,3,8,-,9,-,-,-,-,-,-,2,4,3,-,4
"형법범",기타 형법범죄,일수와 수리에 관한 죄,4,2,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,1,-,1,-,-
"형법범",기타 형법범죄,기타,46,19,-,-,-,1,2,9,4,-,1,2,7,-,-,1,-,1,2,1,2,-,-,20
"특별법범",소계,소계,1002601,279378,1915,3763,2160,10089,42194,61148,59417,56143,35340,7209,128106,1311,2096,1647,4551,18257,24310,28793,25486,19155,2500,595117
"특별법범",가정폭력범죄의 처벌 등에 관한 특례법,소계,210,26,-,-,-,2,2,7,5,4,6,-,169,-,1,-,3,10,46,59,32,18,-,15
"특별법범",가축분뇨의관리및이용에관한법률,소계,890,30,-,-,-,-,3,2,1,8,12,4,7,-,-,-,-,2,1,-,3,1,-,853
"특별법범",감염병의예방및관리에관한법률,소계,89,3,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,86
"특별법범",개발제한구역의 지정 및 관리에 관한 특별조치법,소계,1136,16,-,-,-,-,-,-,3,6,3,4,11,-,-,-,-,-,1,5,3,2,-,1109
"특별법범",개인정보보호법,소계,1066,513,-,-,1,6,41,91,155,136,81,2,246,1,-,-,5,39,58,66,54,22,1,307
"특별법범",건강기능식품에관한법률,소계,575,17,-,-,-,-,-,2,2,3,8,2,16,-,-,-,-,-,1,-,3,11,1,542
"특별법범",건설기계 관리법,소계,491,28,-,-,-,-,1,4,10,7,6,-,4,-,-,-,-,1,1,1,-,1,-,459
"특별법범",건설산업 기본법,소계,1940,177,-,-,-,-,1,11,32,109,22,2,45,-,-,-,-,1,3,17,4,5,15,1718
"특별법범",건축법,소계,4023,134,-,-,-,-,3,15,24,49,32,11,39,-,-,-,-,2,6,13,11,6,1,3850
"특별법범",게임산업진흥에관한법률,소계,8044,108,-,-,3,6,5,15,25,35,11,8,7,-,-,-,2,1,1,1,-,2,-,7929
"특별법범",결혼중개업의관리에관한법률,소계,92,49,-,-,-,-,-,12,24,11,2,-,4,-,-,-,-,1,1,-,-,2,-,39
"특별법범",경범죄처벌법,소계,7304,2070,-,-,1,18,311,482,650,428,126,54,396,-,2,3,18,82,81,90,85,32,3,4838
"특별법범",고용보험법,소계,1961,21,-,-,-,-,2,4,2,7,2,4,12,-,-,-,-,2,2,1,4,1,2,1928
"특별법범",공유수면관리및매립에관한법률,소계,5350,5,-,-,-,-,-,1,-,3,-,1,3,-,-,-,-,1,-,-,-,2,-,5342
"특별법범",공유재산및물품관리법,소계,1112,8,-,-,-,-,1,-,4,3,-,-,1,-,-,-,-,-,1,-,-,-,-,1103
"특별법범",공인중개사법,소계,1010,193,-,-,-,-,2,29,42,66,52,2,112,-,-,-,-,2,19,33,32,24,2,705
