사용월,호선명,지하철역,22시-23시 하차인원,23시-24시 하차인원,00시-01시 하차인원,총하차승객수,구
201712,5호선,동대문역사문화공원,2078,1623,534,6313,중구
201712,5호선,을지로4가,1358,854,295,3865,중구
201712,5호선,종로3가,7182,5211,1810,21385,종로구
201712,5호선,광화문(세종문화회관),10741,6396,2053,29931,종로구
201712,5호선,서대문,11700,7146,2430,32976,서대문구
201712,5호선,충정로(경기대입구),4847,3434,980,14108,서대문구
201712,5호선,애오개,11450,7943,4222,35065,마포구
201712,5호선,공덕,13585,9568,2846,39584,마포구
201712,5호선,마포,16022,11387,3414,46845,마포구
201712,5호선,여의나루,4265,2839,1141,12510,영등포구
201712,5호선,여의도,8882,6343,4043,28150,영등포구
201712,5호선,신길,7236,4843,1355,20670,영등포구
201712,5호선,영등포시장,9134,7020,1676,26964,영등포구
201712,5호선,영등포구청,3950,2664,763,11327,영등포구
201712,5호선,양평,9426,6513,2099,27464,
201712,5호선,오목교(목동운동장앞),32955,22986,6916,95812,양천구
201712,5호선,목동,39085,26892,8991,114053,양천구
201712,5호선,신정(은행정),27363,20380,6010,81116,양천구
201712,경의선,금촌,9974,9054,4111,33113,
201712,경의선,월롱,4021,3559,1489,13090,
201712,경의선,파주,1418,1341,607,4784,
201712,경의선,문산,8281,8128,5694,30384,
201712,경의선,서울역,0,0,0,0,용산구
201712,경의선,공덕,0,0,0,0,마포구
201712,경의선,홍대입구,0,0,0,0,마포구
201712,경의선,김포공항,0,0,0,0,강서구
201712,경의선,계양,0,0,0,0,
201712,경의선,검암,0,0,0,0,
201712,경인선,개봉,49586,34941,5199,139312,구로구
201712,경인선,오류동,21054,15582,3693,61383,구로구
201712,경인선,역곡,63355,46486,9274,182470,
201712,경인선,부천,71490,50228,11633,204841,
201712,경인선,송내,61210,43368,11104,176892,
201712,경인선,부평,61087,45772,15038,182984,
201712,경인선,백운,16864,13627,4276,51631,
201712,경인선,동암,39869,31331,9030,120099,
201712,경인선,주안,42639,33276,10420,128974,
201712,경인선,제물포,17097,14246,5564,54004,
201712,경인선,동인천,25980,19661,7686,79307,
201712,경인선,인천,1864,1350,1676,6754,
201712,경인선,구일,13188,9377,1672,37425,구로구
201712,경인선,소사,26669,20237,4642,78217,
201712,경인선,부개,19610,14525,4633,58378,
201712,장항선,쌍용(나사렛대),3232,3038,1467,10969,
201712,장항선,봉명,1180,821,480,3661,
201712,일산선,대화,21450,16548,7226,66674,
201712,일산선,주엽,15056,11196,4584,45892,
201712,일산선,정발산,8057,6216,2193,24523,
201712,중앙선,아신,1242,1001,485,3970,
201712,일산선,마두,11804,8943,3228,35779,
201712,일산선,백석,16268,11708,4308,48552,
201712,일산선,대곡,1864,1815,819,6362,
201712,일산선,화정,35283,25854,6194,102614,
201712,일산선,원당,27411,16647,4585,76054,
201712,일산선,삼송,27922,17629,5052,78525,
201712,일산선,원흥,15258,10775,4180,45471,
201712,우이신설선,신설동,795,639,423,2652,동대문구
201712,우이신설선,보문,1953,1291,449,5646,성북구
201712,우이신설선,성신여대입구(돈암),3140,2617,767,9664,성북구
201712,우이신설선,정릉,5929,3853,1130,16841,성북구
201712,우이신설선,북한산보국문,9985,7278,1951,29199,성북구
201712,우이신설선,솔샘,11826,7519,2970,34141,강북구
201712,우이신설선,삼양사거리,3309,2083,786,9487,강북구
201712,우이신설선,삼양,3234,2331,752,9551,강북구
201712,우이신설선,화계,4690,3392,1025,13797,강북구
201712,우이신설선,가오리,6702,4603,1603,19610,강북구
201712,5호선,까치산,67861,47473,14346,197541,강서구
201712,5호선,화곡,63692,43633,12791,183808,강서구
201712,5호선,우장산,32684,23134,6912,95414,강서구
