사용월,호선명,지하철역,22시-23시 하차인원,23시-24시 하차인원,00시-01시 하차인원,총하차승객수,경도,위도,구
201712,5호선,신길,7236,4843,1355,20670,126.9164095,37.517346,영등포구
201712,5호선,영등포시장,9134,7020,1676,26964,126.9049865,37.521638,영등포구
201712,5호선,영등포구청,3950,2664,763,11327,126.8959946,37.5248203,영등포구
201712,5호선,양평,9426,6513,2099,27464,127.492149,37.492778,
201712,5호선,오목교(목동운동장앞),32955,22986,6916,95812,126.87505,37.524553,양천구
201712,5호선,목동,39085,26892,8991,114053,126.864301,37.526072,양천구
201712,5호선,신정(은행정),27363,20380,6010,81116,126.856164,37.524977,양천구
201712,경의선,금촌,9974,9054,4111,33113,126.774515,37.766106,
201712,경의선,월롱,4021,3559,1489,13090,126.792602,37.795549,
201712,경의선,파주,1418,1341,607,4784,126.792426,37.81539,
201712,경의선,문산,8281,8128,5694,30384,126.7875312,37.8545648,
201712,경의선,서울역,0,0,0,0,126.9696195,37.5536067,용산구
201712,경의선,공덕,0,0,0,0,126.951576,37.54322,마포구
201712,경의선,홍대입구,0,0,0,0,126.9244669,37.557527,마포구
201712,경의선,김포공항,0,0,0,0,126.8019274,37.5618288,강서구
201712,경의선,계양,0,0,0,0,126.7363805,37.571594,
201712,경의선,검암,0,0,0,0,126.6736077,37.5692314,
201712,경인선,개봉,49586,34941,5199,139312,126.858504,37.494698,구로구
201712,경인선,오류동,21054,15582,3693,61383,126.844551,37.4944,구로구
201712,경인선,역곡,63355,46486,9274,182470,126.8116223,37.4851398,
201712,경인선,부천,71490,50228,11633,204841,126.7827787,37.4840664,
201712,경인선,송내,61210,43368,11104,176892,126.753045,37.487626,
201712,경인선,부평,61087,45772,15038,182984,126.7236421,37.4903861,
201712,경인선,백운,16864,13627,4276,51631,126.707179,37.483301,
201712,경인선,동암,39869,31331,9030,120099,126.702884,37.470869,
201712,경인선,주안,42639,33276,10420,128974,126.6807024,37.4650414,
201712,경인선,제물포,17097,14246,5564,54004,126.657165,37.466809,
201712,경인선,동인천,25980,19661,7686,79307,126.632598,37.475414,
201712,경인선,인천,1864,1350,1676,6754,126.616936,37.476364,
201712,경인선,구일,13188,9377,1672,37425,126.869599,37.496273,구로구
201712,경인선,소사,26669,20237,4642,78217,126.795654,37.482755,
201712,경인선,부개,19610,14525,4633,58378,126.740549,37.488479,
201712,장항선,쌍용(나사렛대),3232,3038,1467,10969,127.121363,36.793745,
201712,장항선,봉명,1180,821,480,3661,127.136319,36.801578,
201712,일산선,대화,21450,16548,7226,66674,126.7477558,37.6758831,
201712,일산선,주엽,15056,11196,4584,45892,126.7611005,37.670186,
201712,일산선,정발산,8057,6216,2193,24523,126.7732889,37.6596496,
201712,중앙선,아신,1242,1001,485,3970,127.443096,37.513498,
201712,일산선,마두,11804,8943,3228,35779,126.777641,37.652185,
201712,일산선,백석,16268,11708,4308,48552,126.788109,37.642973,
201712,일산선,대곡,1864,1815,819,6362,126.8102965,37.631957,
201712,일산선,화정,35283,25854,6194,102614,126.832645,37.63459,
201712,일산선,원당,27411,16647,4585,76054,126.843006,37.653328,
