날짜, 평균기온, 최고기온, 평균운량, 일강수량
2017-5-23, 20.0℃, 24.4℃, 9.1, 5.0mm
2017-5-24, 21.8℃, 27.8℃, 2.9, 0.1mm
2017-5-25, 19.2℃, 24.4℃, 0.9,  -
2017-5-26, 17.7℃, 23.2℃, 1.9,  -
2017-5-27, 19.5℃, 26.4℃, 0.1,  -
2017-5-28, 21.2℃, 27.9℃, 1.0,  -
2017-5-29, 22.9℃, 29.3℃, 4.6,  -
2017-5-30, 23.6℃, 30.3℃, 6.0,  -
2017-5-31, 23.3℃, 29.6℃, 5.4,  -
2017-6-1, 23.3℃, 27.0℃, 4.3,  -
2017-6-2, 20.5℃, 25.6℃, 3.1, 0.0mm
2017-6-3, 20.5℃, 26.5℃, 1.9,  -
2017-6-4, 21.7℃, 28.1℃, 1.8,  -
2017-6-5, 24.2℃, 30.3℃, 4.9, 0.0mm
2017-6-6, 19.4℃, 23.9℃, 9.8, 15.5mm
2017-6-7, 17.6℃, 19.2℃, 8.8, 12.5mm
2017-6-8, 20.1℃, 25.9℃, 3.9,  -
2017-6-9, 21.2℃, 25.7℃, 6.9, 0.1mm
2017-6-10, 21.5℃, 27.5℃, 6.9, 4.5mm
2017-6-11, 22.8℃, 29.6℃, 1.0,  -
2017-6-12, 22.1℃, 28.0℃, 4.9,  -
2017-6-13, 21.5℃, 25.9℃, 7.0, 0.0mm
2017-6-14, 21.8℃, 26.8℃, 1.6,  -
2017-6-15, 23.1℃, 29.6℃, 1.5,  -
2017-6-16, 25.5℃, 32.7℃, 1.3,  -
2017-6-17, 24.2℃, 29.9℃, 0.0,  -
2017-6-18, 24.3℃, 31.8℃, 0.8,  -
2017-6-19, 24.8℃, 30.2℃, 5.6,  -
2017-6-20, 26.0℃, 32.7℃, 6.6, 0.0mm
2017-6-21, 25.4℃, 31.6℃, 3.0, 0.0mm
2017-6-22, 25.3℃, 30.4℃, 3.9,  -
2017-6-23, 26.7℃, 34.1℃, 4.1,  -
2017-6-24, 24.5℃, 27.8℃, 9.5, 3.5mm
2017-6-25, 23.8℃, 28.4℃, 7.1, 1.5mm
2017-6-26, 23.1℃, 29.9℃, 8.8, 29.0mm
2017-6-27, 25.2℃, 30.5℃, 6.4, 0.0mm
2017-6-28, 26.0℃, 30.5℃, 6.1,  -
2017-6-29, 26.2℃, 31.5℃, 3.8,  -
2017-6-30, 25.9℃, 30.9℃, 4.9,  -
2017-7-1, 25.3℃, 30.7℃, 9.4, 0.5mm
2017-7-2, 24.3℃, 26.8℃, 10.0, 92.0mm
2017-7-3, 24.7℃, 27.4℃, 9.9, 67.5mm
2017-7-4, 26.7℃, 31.6℃, 6.5, 0.5mm
2017-7-5, 27.4℃, 32.6℃, 4.8,  -
2017-7-6, 27.6℃, 34.6℃, 7.1, 34.0mm
2017-7-7, 26.4℃, 28.4℃, 9.5, 16.5mm
2017-7-8, 26.0℃, 27.6℃, 9.9, 4.5mm
2017-7-9, 26.3℃, 30.3℃, 9.6, 32.5mm
2017-7-10, 24.0℃, 25.4℃, 10.0, 144.5mm
2017-7-11, 26.0℃, 30.9℃, 8.8, 1.0mm
2017-7-12, 27.1℃, 31.1℃, 6.1, 0.0mm
2017-7-13, 27.6℃, 32.1℃, 2.6,  -
2017-7-14, 28.7℃, 33.0℃, 7.0, 0.0mm
2017-7-15, 25.0℃, 27.3℃, 10.0, 42.5mm
2017-7-16, 26.2℃, 28.8℃, 9.4, 22.5mm
2017-7-17, 26.8℃, 29.0℃, 9.1, 7.5mm
2017-7-18, 26.5℃, 30.7℃, 7.4, 2.5mm
2017-7-19, 28.3℃, 34.1℃, 5.9,  -
2017-7-20, 29.9℃, 34.9℃, 2.4,  -
2017-7-21, 29.8℃, 32.4℃, 8.6,  -
2017-7-22, 29.3℃, 32.5℃, 9.5, 0.5mm
2017-7-23, 27.0℃, 28.1℃, 9.8, 133.5mm
2017-7-24, 26.2℃, 27.3℃, 9.4, 3.0mm
2017-7-25, 29.4℃, 35.4℃, 4.3,  -
2017-7-26, 28.7℃, 32.8℃, 3.5,  -
2017-7-27, 27.1℃, 29.7℃, 9.4, 3.5mm
2017-7-28, 25.5℃, 26.9℃, 9.6, 8.5mm
2017-7-29, 27.2℃, 30.1℃, 7.5, 0.0mm
2017-7-30, 27.9℃, 32.6℃, 7.9,  -
2017-7-31, 25.7℃, 27.1℃, 9.6, 3.5mm
2017-8-1, 28.6℃, 33.0℃, 7.0, 2.0mm
2017-8-2, 30.0℃, 33.0℃, 5.1,  -
2017-8-3, 30.2℃, 33.9℃, 5.6,  -
2017-8-4, 30.3℃, 35.3℃, 6.3,  -
2017-8-5, 31.4℃, 34.8℃, 4.1, 0.0mm
2017-8-6, 29.8℃, 34.0℃, 6.9, 5.0mm
2017-8-7, 29.2℃, 34.4℃, 3.3,  -
2017-8-8, 28.2℃, 31.0℃, 8.0,  -
2017-8-9, 27.6℃, 32.0℃, 9.1, 2.5mm
2017-8-10, 24.8℃, 26.3℃, 9.9, 5.5mm
2017-8-11, 27.0℃, 32.4℃, 5.9, 0.5mm
2017-8-12, 27.8℃, 32.6℃, 5.6,  -
2017-8-13, 26.3℃, 28.4℃, 8.9, 0.0mm
2017-8-14, 24.6℃, 27.1℃, 9.6, 1.5mm
2017-8-15, 21.9℃, 24.0℃, 10.0, 93.5mm
2017-8-16, 23.3℃, 26.8℃, 9.6, 2.0mm
2017-8-17, 24.8℃, 27.7℃, 8.1, 0.5mm
2017-8-18, 26.3℃, 30.6℃, 8.3, 0.0mm
2017-8-19, 26.1℃, 28.7℃, 8.1, 0.0mm
2017-8-20, 23.2℃, 25.8℃, 10.0, 124.5mm
2017-8-21, 25.8℃, 29.2℃, 7.6, 5.0mm
2017-8-22, 27.3℃, 31.5℃, 4.4,  -
2017-8-23, 27.2℃, 30.2℃, 9.4, 31.5mm
2017-8-24, 26.5℃, 28.1℃, 7.9, 14.0mm
2017-8-25, 25.3℃, 30.6℃, 6.0,  -
2017-8-26, 24.2℃, 29.2℃, 1.9,  -
2017-8-27, 22.7℃, 26.7℃, 8.3, 0.0mm
2017-8-28, 21.5℃, 26.5℃, 9.1, 9.0mm
2017-8-29, 19.5℃, 24.0℃, 6.5,  -
2017-8-30, 19.8℃, 23.9℃, 7.1,  -
2017-8-31, 22.2℃, 27.6℃, 0.9,  -
2017-9-1, 23.3℃, 29.7℃, 0.4,  -
2017-9-2, 23.8℃, 29.6℃, 2.9,  -
2017-9-3, 23.7℃, 29.2℃, 3.0,  -
2017-9-4, 24.6℃, 30.1℃, 6.1,  -
2017-9-5, 21.9℃, 23.7℃, 8.8, 0.0mm
2017-9-6, 20.6℃, 24.0℃, 9.6, 2.0mm
2017-9-7, 22.4℃, 27.5℃, 5.6,  -
2017-9-8, 24.3℃, 29.9℃, 3.8,  -
2017-9-9, 23.8℃, 28.2℃, 2.8,  -
2017-9-10, 23.0℃, 26.1℃, 9.3, 0.5mm
2017-9-11, 21.2℃, 24.6℃, 7.6, 24.0mm
2017-9-12, 22.1℃, 27.9℃, 0.6,  -
2017-9-13, 21.4℃, 27.5℃, 0.0,  -
2017-9-14, 22.4℃, 29.5℃, 1.5,  -
2017-9-15, 22.6℃, 27.9℃, 3.9,  -
2017-9-16, 22.0℃, 27.6℃, 3.1,  -
2017-9-17, 23.1℃, 29.2℃, 3.5,  -
2017-9-18, 21.9℃, 27.6℃, 1.8,  -
2017-9-19, 22.6℃, 25.8℃, 7.9, 8.0mm
2017-9-20, 19.5℃, 24.9℃, 0.8,  -
2017-9-21, 20.3℃, 27.0℃, 0.5,  -
2017-9-22, 20.6℃, 26.8℃, 3.5,  -
2017-9-23, 21.8℃, 27.3℃, 6.6, 0.0mm
2017-9-24, 22.4℃, 27.9℃, 6.9, 0.0mm
2017-9-25, 23.4℃, 30.1℃, 2.5,  -
2017-9-26, 25.1℃, 31.4℃, 4.9, 0.0mm
2017-9-27, 22.7℃, 27.3℃, 8.8, 0.5mm
2017-9-28, 19.2℃, 25.3℃, 2.5,  -
2017-9-29, 17.4℃, 23.5℃, 3.1,  -
2017-9-30, 20.0℃, 25.9℃, 3.5,  -
2017-10-1, 18.2℃, 21.2℃, 8.9, 4.0mm
2017-10-2, 22.0℃, 29.4℃, 2.6, 1.5mm
2017-10-3, 17.6℃, 23.6℃, 5.8,  -
2017-10-4, 16.7℃, 24.3℃, 6.6,  -
2017-10-5, 18.7℃, 23.4℃, 8.0,  -
2017-10-6, 18.9℃, 23.3℃, 8.5, 0.5mm
2017-10-7, 21.9℃, 28.8℃, 7.5, 0.0mm
2017-10-8, 23.0℃, 28.7℃, 4.8,  -
2017-10-9, 22.5℃, 27.6℃, 6.5, 0.0mm
2017-10-10, 21.4℃, 24.8℃, 9.3, 0.4mm
2017-10-11, 15.5℃, 21.7℃, 9.3, 20.0mm
2017-10-12, 11.4℃, 13.8℃, 7.1,  -
2017-10-13, 12.8℃, 18.9℃, 3.4,  -
2017-10-14, 14.4℃, 20.5℃, 4.9,  -
2017-10-15, 15.8℃, 23.0℃, 5.4,  -
2017-10-16, 16.6℃, 22.0℃, 7.9,  -
2017-10-17, 16.2℃, 23.9℃, 0.4,  -
2017-10-18, 16.5℃, 19.1℃, 9.3, 0.1mm
2017-10-19, 17.0℃, 23.2℃, 3.8,  -
2017-10-20, 17.0℃, 24.2℃, 0.1,  -
2017-10-21, 17.6℃, 25.2℃, 0.0,  -
2017-10-22, 16.3℃, 23.5℃, 1.8,  -
2017-10-23, 13.7℃, 20.6℃, 0.0,  -
2017-10-24, 14.4℃, 20.9℃, 3.0,  -
2017-10-25, 14.4℃, 20.6℃, 2.9,  -
2017-10-26, 14.5℃, 18.1℃, 8.6,  -
2017-10-27, 16.9℃, 24.2℃, 1.9,  -
2017-10-28, 17.2℃, 24.8℃, 0.1,  -
2017-10-29, 11.5℃, 17.2℃, 0.0,  -
2017-10-30, 7.7℃, 13.2℃, 0.0,  -
2017-10-31, 10.4℃, 16.0℃, 1.8,  -
2017-11-1, 14.4℃, 18.1℃, 8.5,  -
2017-11-2, 15.5℃, 18.0℃, 8.8, 1.0mm
2017-11-3, 12.3℃, 16.6℃, 5.6, 1.5mm
2017-11-4, 7.8℃, 13.7℃, 2.4,  -
2017-11-5, 8.4℃, 15.4℃, 3.3,  -
2017-11-6, 11.4℃, 16.5℃, 5.5,  -
2017-11-7, 14.4℃, 18.4℃, 9.1, 0.0mm
2017-11-8, 13.1℃, 17.2℃, 3.9, 0.0mm
2017-11-9, 9.4℃, 16.8℃, 0.0,  -
2017-11-10, 9.8℃, 15.9℃, 4.4, 7.5mm
2017-11-11, 5.9℃, 10.7℃, 0.0,  -
2017-11-12, 5.3℃, 11.4℃, 1.5,  -
2017-11-13, 8.4℃, 11.8℃, 7.9, 4.5mm
2017-11-14, 7.5℃, 11.4℃, 1.9,  -
2017-11-15, 3.2℃, 6.5℃, 4.1,  -
2017-11-16, 1.0℃, 6.4℃, 0.0,  -
2017-11-17, 3.0℃, 5.8℃, 8.5, 0.0mm
