ณฏยฅ, ฦ๒ฑีฑโฟย, รึฐํฑโฟย, รึภ๚ฑโฟย, ฦ๒ฑีฟ๎ทฎ, ภฯฐญผ๖ทฎ
2016-4-23, 13.5กษ, 19.8กษ, 7.8กษ, 6.3,  -
2016-4-24, 15.5กษ, 23.7กษ, 8.1กษ, 2.3,  -
2016-4-25, 17.2กษ, 25.3กษ, 10.2กษ, 0.8,  -
2016-4-26, 21.1กษ, 29.6กษ, 12.1กษ, 5.9,  -
2016-4-27, 17.2กษ, 20.7กษ, 14.5กษ, 9.6,  -
2016-4-28, 17.2กษ, 23.0กษ, 12.4กษ, 6.4,  -
2016-4-29, 16.2กษ, 22.6กษ, 10.9กษ, 2.5, 0.3mm
2016-4-30, 15.9กษ, 20.4กษ, 10.8กษ, 5.4,  -
2016-5-1, 18.8กษ, 26.0กษ, 12.2กษ, 5.6,  -
2016-5-2, 21.1กษ, 28.4กษ, 16.5กษ, 7.0, 16.5mm
2016-5-3, 12.9กษ, 17.6กษ, 8.9กษ, 10.0, 27.0mm
2016-5-4, 15.7กษ, 20.6กษ, 10.2กษ, 1.6,  -
2016-5-5, 18.9กษ, 26.9กษ, 10.2กษ, 4.5, 7.5mm
2016-5-6, 16.3กษ, 18.6กษ, 13.0กษ, 9.3, 9.5mm
2016-5-7, 16.5กษ, 22.6กษ, 10.7กษ, 2.0,  -
2016-5-8, 19.4กษ, 26.8กษ, 11.6กษ, 5.4,  -
2016-5-9, 20.2กษ, 25.4กษ, 16.3กษ, 8.3, 0.0mm
2016-5-10, 14.5กษ, 18.1กษ, 12.5กษ, 9.1, 13.5mm
2016-5-11, 16.4กษ, 23.5กษ, 10.4กษ, 2.0,  -
2016-5-12, 17.8กษ, 24.0กษ, 12.1กษ, 3.3,  -
2016-5-13, 18.6กษ, 25.4กษ, 12.7กษ, 3.6, 0.5mm
2016-5-14, 20.2กษ, 26.9กษ, 15.1กษ, 5.5,  -
2016-5-15, 17.4กษ, 24.2กษ, 12.3กษ, 9.0, 45.0mm
2016-5-16, 15.9กษ, 21.9กษ, 10.8กษ, 3.0, 2.5mm
2016-5-17, 19.3กษ, 26.6กษ, 10.9กษ, 0.0,  -
2016-5-18, 22.3กษ, 29.5กษ, 13.5กษ, 0.5,  -
2016-5-19, 24.3กษ, 31.9กษ, 16.3กษ, 0.0,  -
2016-5-20, 24.0กษ, 31.6กษ, 16.8กษ, 0.6,  -
2016-5-21, 24.1กษ, 30.4กษ, 17.8กษ, 2.6,  -
2016-5-22, 24.7กษ, 31.7กษ, 17.6กษ, 2.8,  -
2016-5-23, 23.3กษ, 29.4กษ, 18.3กษ, 7.5,  -
2016-5-24, 16.8กษ, 21.8กษ, 15.4กษ, 7.0, 38.5mm
2016-5-25, 19.7กษ, 24.4กษ, 15.3กษ, 6.9,  -
2016-5-26, 19.4กษ, 22.9กษ, 17.5กษ, 8.1, 0.0mm
2016-5-27, 20.9กษ, 27.1กษ, 14.8กษ, 7.1,  -
2016-5-28, 21.7กษ, 28.0กษ, 17.2กษ, 2.9,  -
2016-5-29, 21.5กษ, 27.6กษ, 17.2กษ, 4.1,  -
2016-5-30, 22.1กษ, 28.9กษ, 16.9กษ, 0.0,  -
2016-5-31, 21.6กษ, 27.6กษ, 17.4กษ, 2.9,  -
2016-6-1, 23.3กษ, 29.9กษ, 17.1กษ, 2.4,  -
2016-6-2, 23.2กษ, 29.1กษ, 17.2กษ, 0.6,  -
2016-6-3, 22.2กษ, 27.7กษ, 17.6กษ, 4.0,  -
2016-6-4, 21.2กษ, 26.3กษ, 18.2กษ, 7.5,  -
2016-6-5, 24.7กษ, 32.2กษ, 17.3กษ, 3.5,  -
2016-6-6, 23.3กษ, 28.4กษ, 20.8กษ, 7.4, 0.0mm
2016-6-7, 21.7กษ, 25.9กษ, 19.6กษ, 6.8, 0.1mm
2016-6-8, 22.1กษ, 27.7กษ, 18.2กษ, 5.1,  -
2016-6-9, 24.1กษ, 31.3กษ, 17.8กษ, 1.4,  -
2016-6-10, 24.6กษ, 31.3กษ, 20.2กษ, 2.1,  -
2016-6-11, 23.5กษ, 26.5กษ, 20.9กษ, 8.3, 3.0mm
2016-6-12, 23.5กษ, 26.7กษ, 19.9กษ, 8.3, 1.5mm
2016-6-13, 23.5กษ, 29.6กษ, 19.4กษ, 5.1,  -
2016-6-14, 23.8กษ, 29.5กษ, 19.7กษ, 6.0, 0.0mm
2016-6-15, 20.9กษ, 24.5กษ, 17.4กษ, 9.0, 15.5mm
2016-6-16, 20.9กษ, 24.9กษ, 18.6กษ, 6.9, 0.0mm
2016-6-17, 23.8กษ, 29.1กษ, 18.6กษ, 2.5,  -
2016-6-18, 24.5กษ, 29.9กษ, 20.1กษ, 1.3,  -
2016-6-19, 24.1กษ, 29.3กษ, 20.3กษ, 4.4, 0.0mm
2016-6-20, 24.7กษ, 30.7กษ, 19.6กษ, 6.8,  -
2016-6-21, 26.0กษ, 31.3กษ, 21.0กษ, 6.1,  -
2016-6-22, 24.3กษ, 30.2กษ, 20.9กษ, 6.4, 30.5mm
2016-6-23, 24.7กษ, 29.4กษ, 19.6กษ, 5.0, 0.1mm
2016-6-24, 23.1กษ, 25.7กษ, 21.1กษ, 7.3, 3.5mm
2016-6-25, 22.8กษ, 26.7กษ, 19.2กษ, 4.5,  -
2016-6-26, 24.4กษ, 30.3กษ, 19.4กษ, 0.8,  -
2016-6-27, 24.4กษ, 29.5กษ, 19.9กษ, 6.6,  -
2016-6-28, 24.7กษ, 29.7กษ, 20.4กษ, 5.0,  -
2016-6-29, 25.3กษ, 30.2กษ, 20.9กษ, 6.9,  -
2016-6-30, 24.6กษ, 26.9กษ, 23.0กษ, 9.5, 0.2mm
2016-7-1, 24.0กษ, 26.6กษ, 22.0กษ, 9.9, 108.5mm
2016-7-2, 23.5กษ, 27.7กษ, 20.6กษ, 8.0, 4.0mm
2016-7-3, 23.5กษ, 26.8กษ, 21.1กษ, 6.5,  -
2016-7-4, 21.8กษ, 24.1กษ, 20.2กษ, 9.1, 29.5mm
2016-7-5, 23.1กษ, 24.8กษ, 20.2กษ, 10.0, 100.5mm
