사용월,호선명,지하철역,22시-23시 하차인원,23시-24시 하차인원,00시-01시 하차인원,총하차승객수
201712,1호선,청량리(서울시립대입구),36249,26437,8959,107894
201712,1호선,제기동,13353,9951,2721,39378
201712,1호선,신설동,17741,13609,3694,52785
201712,1호선,동대문,20551,16691,5872,63665
201712,1호선,종로5가,7094,4691,1780,20659
201712,1호선,종로3가,10834,7668,3529,32865
201712,1호선,종각,16151,13786,2580,48668
201712,1호선,시청,8836,5482,1817,24971
201712,1호선,서울역,48341,27615,10795,135092
201712,공항철도 1호선,서울역,12099,5607,4717,34522
201712,공항철도 1호선,공덕,4285,3278,1971,13819
201712,공항철도 1호선,홍대입구,11983,10759,3447,38172
201712,공항철도 1호선,디지털미디어시티,7745,5511,3365,24366
201712,공항철도 1호선,김포공항,3832,2318,1714,11696
201712,우이신설선,4.19민주묘지,3600,2919,946,11065
201712,6호선,구산,11027,8328,2959,33341
201712,6호선,새절(신사),28950,20574,6181,84655
201712,6호선,증산(명지대앞),23434,16517,5173,68558
201712,6호선,디지털미디어시티,21217,15860,6082,64376
201712,6호선,월드컵경기장(성산),5259,3878,1058,15454
201712,6호선,마포구청,20553,14637,4492,60235
201712,6호선,망원,19549,13587,4048,56733
201712,6호선,합정,16794,12939,4186,50713
201712,6호선,상수,13649,11071,3216,41585
201712,6호선,광흥창(서강),11830,8977,2536,35173
201712,6호선,대흥(서강대앞),10564,8321,2357,31806
201712,6호선,공덕,20055,14287,7256,61653
201712,경부선,서울역,1237,320,20,2814
201712,경부선,남영,12443,8803,1998,35687
201712,경부선,용산,24188,9685,3443,61504
201712,경부선,노량진,18347,13553,3312,53559
201712,경부선,대방,22544,16192,3837,65117
201712,7호선,천왕,16172,11837,4040,48221
201712,7호선,온수(성공회대입구),19056,14404,8023,60539
201712,8호선,암사,36026,25185,7128,104365
201712,경부선,영등포,42788,25615,7425,118616
201712,경부선,신도림,5113,3746,1990,15962
201712,경부선,신길,15515,10523,3116,44669
201712,경부선,구로,26479,21820,22585,97363
201712,경부선,가산디지털단지,14276,8474,1372,38398
201712,경부선,금천구청,18280,13335,1349,51244
201712,6호선,효창공원앞,9321,6763,2643,28048
201712,6호선,삼각지,8308,6177,1733,24526
201712,6호선,녹사평(용산구청),6628,5467,1783,20506
201712,6호선,이태원,33915,30550,10311,108691
201712,6호선,한강진,3456,2837,2753,12502
201712,6호선,버티고개,4085,2944,1008,12122
201712,6호선,약수,3725,2596,984,11030
201712,6호선,청구,4551,3299,1253,13654
201712,6호선,신당,8422,13237,2794,32875
201712,6호선,동묘앞,10566,10628,3319,35079
201712,6호선,창신,6529,4316,1629,19003
201712,6호선,보문,14435,10084,3831,42785
201712,6호선,안암(고대병원앞),14829,12649,5746,48053
201712,6호선,고려대(종암),14960,13210,3472,46602
201712,6호선,월곡(동덕여대),21966,16527,4678,65137
201712,6호선,상월곡(한국과학기술연구원),11778,8580,2729,34865
201712,분당선,선릉,6385,4643,1063,18476
201712,분당선,한티,15425,11378,1317,43545
201712,분당선,도곡,8609,6516,1021,24755
201712,분당선,구룡,3182,2877,378,9619
201712,분당선,개포동,5586,3978,654,15804
201712,분당선,대모산입구,5571,3577,758,15477
201712,분당선,수서,18863,10085,1923,49734
201712,분당선,복정,0,0,0,0
201712,분당선,서울숲,10587,6346,1442,28962
201712,분당선,압구정로데오,7216,4258,983,19673
201712,분당선,강남구청,7645,5456,1366,22112
201712,분당선,선정릉,4655,3409,906,13625
201712,경부선,독산,23419,15851,1144,63833
201712,경원선,이촌(국립중앙박물관),5681,3848,1234,16444
201712,경원선,서빙고,2212,1655,466,6545
201712,경원선,한남,3730,3031,703,11194
201712,경원선,옥수,16,2,0,34
201712,경원선,응봉,2716,2251,606,8289
201712,경원선,왕십리(성동구청),30369,18001,7287,86026
201712,8호선,천호(풍납토성),33045,22984,8066,97140
201712,8호선,강동구청,20144,11657,4124,56069
201712,8호선,몽촌토성(평화의문),9128,5460,2069,25785
201712,8호선,잠실(송파구청),10326,7141,2509,30302
201712,8호선,석촌,13208,10425,2882,39723
201712,8호선,송파,6236,4597,1278,18347
201712,8호선,가락시장,9555,6501,3261,28872
201712,8호선,문정,11299,6912,2772,32282
201712,8호선,장지,25280,17103,6609,74272
201712,8호선,복정,17655,9429,2554,47293
201712,9호선,개화,9565,6842,2241,28213
201712,9호선,김포공항,7003,4374,3015,21395
201712,6호선,돌곶이,15522,10933,4024,46001
201711,경원선,석계,23857,15191,3548,66453
201711,9호선2단계,봉은사,6626,4264,1363,18879
201711,9호선2단계,종합운동장,11377,7800,2436,32990
201711,9호선,김포공항,6120,3813,2074,18127
201711,7호선,천왕,15470,11021,3347,45308
201711,7호선,온수(성공회대입구),18995,12566,6828,57384
201711,8호선,암사,34016,22443,5528,96003
201711,8호선,천호(풍납토성),31479,19444,6586,88988
201711,8호선,강동구청,18095,10069,3389,49648
201711,8호선,몽촌토성(평화의문),8098,4210,1599,22005
201711,8호선,잠실(송파구청),7828,4232,1688,21576
201711,8호선,석촌,11501,8439,2275,33716
201711,8호선,송파,5783,4073,1022,16661
201711,8호선,가락시장,9049,5595,2398,26091
201711,8호선,문정,10381,6151,2192,29105
201711,8호선,장지,23748,14707,4915,67118
201711,8호선,복정,16188,8035,1649,42060
201711,경원선,광운대,16202,12612,6570,51586
201711,경원선,월계,7238,4639,1350,20465
201711,경원선,녹천,8991,6348,1997,26327
201711,경원선,창동,0,0,0,0
201711,경원선,방학,13838,9385,2393,39454
201711,경원선,도봉,9551,6298,1795,27195
201711,경원선,도봉산,6504,5178,1894,20080
201711,중앙선,망우,12085,9071,2042,35283
201711,중앙선,상봉(시외버스터미널),11030,6801,2206,31067
201711,중앙선,중랑,10942,6669,1403,29956
201711,중앙선,회기,50929,36490,9483,147831
201711,5호선,길동,11427,8200,3046,34100
201711,5호선,강동,32288,21327,9105,95008
201711,5호선,천호(풍납토성),26982,17452,5825,77241
201711,5호선,광나루(장신대),19843,12500,3372,55558
201711,5호선,아차산(어린이대공원후문),24399,15231,4603,68632
201711,5호선,군자(능동),24251,16090,7126,71718
201711,5호선,장한평,25438,16869,5445,73190
201711,5호선,답십리,27475,17278,5378,77606
201711,5호선,마장,8280,5078,1695,23333
201711,5호선,왕십리(성동구청),5997,3810,2376,18180
201711,5호선,행당,15549,9148,3091,43337
201711,5호선,신금호,9804,6535,2284,28427
201711,5호선,청구,5817,3870,1192,16696
201711,5호선,동대문역사문화공원,1758,1353,420,5289
201711,5호선,을지로4가,1184,767,272,3407
201711,5호선,종로3가,5799,4006,1440,17044
201711,5호선,광화문(세종문화회관),8654,4853,1522,23683
201711,5호선,서대문,10651,6078,1999,29379
201711,5호선,충정로(경기대입구),4682,3192,908,13464
201711,5호선,애오개,10541,6559,3361,31002
201711,5호선,공덕,12190,7926,2357,34663
201711,5호선,마포,14860,9741,2982,42443
201711,5호선,여의나루,3823,2495,1003,11144
201711,5호선,여의도,8102,4982,2816,24002
201711,5호선,신길,6528,4211,1129,18396
201711,5호선,영등포시장,8567,5451,1347,23932
201711,5호선,영등포구청,3779,2376,585,10519
201711,경의선,서울역,153,1150,105,1561
201711,경의선,신촌,302,369,71,1044
201711,경의선,효창공원앞,3566,2227,471,9830
201711,경의선,공덕,3198,1939,531,8866
201711,경의선,서강대,1956,1325,322,5559
201711,경의선,홍대입구,2228,1488,394,6338
201711,경의선,가좌,6421,4973,1147,18962
201711,경의선,디지털미디어시티,3554,2671,608,10387
201711,경의선,수색,1966,1702,415,6049
201711,우이신설선,신설동,746,624,425,2541
201711,우이신설선,보문,1814,1148,391,5167
201711,우이신설선,성신여대입구(돈암),2844,2084,691,8463
201711,우이신설선,정릉,5781,3377,1020,15959
201711,우이신설선,북한산보국문,9797,6596,1551,27741
201711,우이신설선,솔샘,11624,6724,2534,32506
201711,우이신설선,삼양사거리,3199,1916,655,8969
201711,우이신설선,삼양,3248,2057,669,9222
201711,우이신설선,화계,4741,3019,921,13422
201711,우이신설선,가오리,6664,4255,1315,18898
201711,우이신설선,4.19민주묘지,3796,2860,832,11284
201711,우이신설선,솔밭공원,3688,2965,787,11128
201711,5호선,오목교(목동운동장앞),30350,19008,5802,85510
201711,5호선,목동,37023,23655,7701,105402
201711,5호선,신정(은행정),25857,17975,5207,74896
201711,5호선,까치산,66517,42820,12849,188703
201711,5호선,화곡,60440,38461,10949,170290
201711,5호선,우장산,31556,20500,5528,89140
201711,5호선,발산,14822,8588,3340,41572
201711,5호선,마곡,11579,7344,3090,33592
201711,5호선,김포공항,2125,1012,457,5719
201711,5호선,개화산,9821,6246,2336,28224
201711,5호선,방화,15219,9940,3888,44266
201711,4호선,남태령,1124,725,401,3374
201711,4호선,사당,39562,26506,9821,115451
201711,4호선,총신대입구(이수),34680,21686,5894,96940
201711,4호선,동작(현충원),3208,2112,946,9474
201711,4호선,이촌(국립중앙박물관),9731,5811,2083,27356
201711,4호선,신용산,9227,5225,1491,25170
201711,4호선,삼각지,6023,4305,1572,17923
201711,4호선,숙대입구(갈월),18860,13039,3209,53968
201711,4호선,서울역,24191,14636,5745,68763
201711,4호선,회현(남대문시장),10294,6956,2073,29617
201711,4호선,명동,20243,12402,4296,57184
201711,4호선,충무로,17423,12951,4276,52073
201711,4호선,동대문역사문화공원,17150,12416,3524,50240
201711,4호선,동대문,10520,10079,2669,33788
201711,4호선,혜화,24718,16758,6440,72634
201711,경부선,서울역,1067,225,20,2379
201711,경부선,남영,11152,7320,1484,31108
201711,경부선,용산,20946,7747,2685,52324
201711,경부선,노량진,17235,11848,2756,49074
201711,경부선,대방,22436,14846,3431,63149
201711,경부선,영등포,39180,21275,6055,105690
201711,경부선,신도림,5239,3334,1602,15414
201711,경부선,신길,14771,9305,2685,41532
201711,경부선,구로,26195,19135,18480,90005
201711,경부선,가산디지털단지,13601,7970,1191,36363
201711,경부선,금천구청,18476,11931,1350,50233
201711,9호선,개화,9284,6099,1761,26428
201711,9호선,공항시장,6952,5147,1910,20961
201711,9호선,신방화,16963,12954,4244,51124
201711,9호선,마곡나루,11914,8340,2987,35155
201711,9호선,양천향교,16074,11762,4304,48214
201711,9호선,가양,40625,28028,9769,119047
201711,우이신설선,북한산우이,3016,2225,1169,9426
201711,4호선,한성대입구(삼선교),24575,15427,10296,74873
201711,4호선,성신여대입구(돈암),38932,26380,7319,111563
201711,4호선,길음,46880,31216,7900,132876
201711,4호선,미아사거리,55061,32337,7681,150140
201711,4호선,미아(서울사이버대학),29260,18788,5200,82508
201711,4호선,수유(강북구청),78745,52250,14939,224679
201711,4호선,쌍문,69851,48244,17432,205378
201711,4호선,창동,59011,42473,15245,175740
201711,4호선,노원,43234,32358,11693,130519
201711,4호선,상계,42066,31749,10126,126007
201711,4호선,당고개,26168,19553,6922,78811
201711,3호선,오금,13437,8751,2774,38399
201711,3호선,경찰병원,11299,7454,2046,32098
201711,3호선,가락시장,14604,9444,2768,41420
201711,3호선,수서,25668,12661,5840,69837
201711,3호선,일원,12165,6684,2304,33318
201711,3호선,대청,16793,10555,3522,47663
201711,3호선,학여울,2692,1767,684,7835
201711,3호선,대치,15461,10277,3547,44746
201711,3호선,도곡,7474,5009,2787,22744
201711,3호선,매봉,9861,5902,1895,27519
201711,3호선,양재(서초구청),32360,19172,5665,89557
201711,3호선,남부터미널(예술의전당),23023,12807,3349,62202
201711,3호선,교대(법원.검찰청),5014,3231,1030,14289
201711,3호선,고속터미널,38678,20244,4135,101735
201711,3호선,잠원,11766,6353,2026,31911
201711,3호선,신사,16403,13158,5353,51317
201711,9호선,증미,9868,6639,2160,28535
201711,9호선,등촌,17590,11954,3895,51029
201711,9호선,염창,38846,26311,7889,111892
201711,9호선,신목동,7518,5719,1942,22697
201711,9호선,선유도,8114,4781,1739,22748
201711,9호선,당산,34507,22574,7841,99429
201711,9호선,국회의사당,3859,2808,1060,11586
201711,9호선,여의도,8074,5264,1786,23198
201711,9호선,샛강,3876,2304,1078,11134
201711,9호선,노량진,45116,28415,7711,126358
201711,9호선,노들,8719,5331,1524,24293
201711,1호선,신설동,16606,11621,2910,47743
201711,1호선,제기동,12886,9358,2328,37458
201711,1호선,청량리(서울시립대입구),33052,22864,7600,96568
201711,1호선,동묘앞,7493,4977,3306,23269
201711,2호선,시청,6370,4567,1669,18976
201711,2호선,을지로입구,18394,12050,3848,52686
201711,분당선,선정릉,4610,3260,799,13279
201711,분당선,강남구청,7049,4493,1021,19612
201711,분당선,압구정로데오,5917,3450,687,15971
201711,분당선,서울숲,10279,5480,1186,27224
201711,분당선,복정,0,0,0,0
201711,분당선,수서,17557,9079,1613,45806
201711,분당선,대모산입구,5603,3196,719,15121
201711,분당선,개포동,5742,3768,543,15795
201711,3호선,압구정,15322,8691,3318,42653
201711,3호선,옥수,19803,11230,2868,53704
201711,3호선,금호,17085,10243,2837,47250
201711,3호선,약수,21141,13576,5248,61106
201711,3호선,동대입구,5957,4202,1314,17430
201711,3호선,충무로,0,0,0,0
201711,3호선,을지로3가,2866,2062,642,8436
201711,3호선,종로3가,3972,2725,967,11636
201711,3호선,안국,6913,4042,1434,19302
201711,경의선,서울역,0,0,0,0
201711,경의선,홍대입구,0,0,0,0
201711,경인선,개봉,46938,31794,4715,130385
201711,경인선,오류동,20030,14482,3284,57826
201711,1호선,서울역,41835,22771,8380,114821
201711,1호선,시청,6670,3837,1365,18542
201711,1호선,종각,9650,5942,1623,26865
201711,1호선,종로3가,9141,6111,2819,27212
201711,1호선,종로5가,6395,4159,1214,18163
201711,1호선,동대문,19334,15665,4976,59309
201711,9호선,흑석(중앙대입구),15192,10065,3401,43850
201711,9호선,동작(현충원),2077,1374,979,6507
201711,9호선,구반포,3706,2227,618,10257
201711,9호선,신반포,4727,2893,908,13255
201711,9호선,고속터미널,19574,10947,2809,52904
201711,9호선,사평,4082,2496,870,11530
201711,2호선,을지로3가,7720,5691,1586,22717
201711,2호선,을지로4가,4612,3472,1086,13782
201711,2호선,동대문역사문화공원,21274,14511,5513,62572
201711,2호선,신당,22299,14673,5282,64553
201711,2호선,상왕십리,24383,16004,5635,70405
201711,2호선,왕십리(성동구청),26196,18566,8051,79009
201711,2호선,한양대,6691,4668,1755,19805
201711,2호선,뚝섬,17652,11512,4336,51152
